REF DU MUSEE;NOM DU MUSEE;ANNEE;REGION;VILLE;DATE APPELLATION;PAYANT;GRATUIT;TOTAL;NOTE;ID MUSEOFILE;DEPARTEMENT;OBSERVATIONS
7510106;Musée du Louvre;2010;ILE-DE-FRANCE;PARIS;06/01/2002;5162394;3184027;8346421;;;PARIS;
7510106;Musée du Louvre;2011;ILE-DE-FRANCE;PARIS;06/01/2002;5451295;3212697;8663992;;;PARIS;
9535101;Musée Intercommunal d'Histoire et d'Archéologie de Louvres;2011;ILE-DE-FRANCE;ROISSY-EN-FRANCE;01/02/2003;6865;4432;11297;;;VAL D'OISE;
7510106;Musée du Louvre;2012;ILE-DE-FRANCE;PARIS;06/01/2002;5702729;3735014;9437743;;;PARIS;
7510106;Musée du Louvre;2001;ILE-DE-FRANCE;PARIS;;3325837;1838088;5163925;;;PARIS;
9535101;Musée intercommunal d’histoire et d’archéologie de Louvres;2001;ILE-DE-FRANCE;ROISSY-EN-FRANCE;;;;;F;;VAL D'OISE;
7510106;Musée du Louvre;2002;ILE-DE-FRANCE;PARIS;06/01/2002;3979000;1805000;5784000;;;PARIS;
9535101;Musée intercommunal d’histoire et d’archéologie de Louvres;2004;ILE-DE-FRANCE;ROISSY-EN-FRANCE;01/02/2003;505;0;505;;;VAL D'OISE;
9535101;Musée Intercommunal d'Histoire et d'Archéologie de Louvres;2007;ILE-DE-FRANCE;ROISSY-EN-FRANCE;01/02/2003;;;;F;;VAL D'OISE;
9535101;ARCHEA - Archéologie en Pays de France;2020;ILE-DE-France;LOUVRES;01/02/2003;3824;2417;6241;;M0436;VAL D'OISE;
9535101;ARCHEA - Archéologie en Pays de France;2021;Île-de-France;Louvres;01/02/2003;2767;3263;6030;;M0436;Val-D'Oise;
7510106;Musée du Louvre;2013;ILE-DE-FRANCE;PARIS;06/01/2002;5635387;3498880;9134267;;;PARIS;
6249801;Louvre-Lens (collections nationales decentralisées);2014;NORD-PAS-DE-CALAIS;LENS;;196754;295130;491884;;;PAS-DE-CALAIS;
7510106;Musée du Louvre;2016;ILE-DE-FRANCE;PARIS;06/01/2002;4557028;2481376;7038404;;;PARIS;
9535101;ARCHEA - Archéologie en Pays de France;2017;ILE-DE-FRANCE;LOUVRES;01/02/2003;6590;4112;10702;;;VAL D'OISE;
7510106;Musée du Louvre;2019;ILE-DE-France;PARIS;06/01/2002;5729967;3790306;9520273;;M5031;PARIS;"7510106 ; 7510602"
6249801;Louvre-Lens;2020;HAUTS-DE-France;LENS;;30730;185615;216345;;;PAS-DE-CALAIS;Collections nationales en région
9535101;Musée intercommunal d’histoire et d’archéologie de Louvres;2003;ILE-DE-FRANCE;ROISSY-EN-FRANCE;01/02/2003;747;0;747;;;VAL D'OISE;
7510106;Musée du Louvre;2004;ILE-DE-FRANCE;PARIS;06/01/2002;4561000;2333000;6894000;;;PARIS;
9535101;Musée intercommunal d’histoire et d’archéologie de Louvres;2005;ILE-DE-FRANCE;ROISSY-EN-FRANCE;01/02/2003;;;;F;;VAL D'OISE;
9535101;Musée intercommunal d’histoire et d’archéologie de Louvres;2002;ILE-DE-FRANCE;ROISSY-EN-FRANCE;;;;;F;;VAL D'OISE;
7510106;Musée du Louvre;2007;ILE-DE-FRANCE;PARIS;06/01/2002;5521236;2703407;8224643;;;PARIS;
9535101;Musée Intercommunal d'Histoire et d'Archéologie de Louvres;2008;ILE-DE-FRANCE;ROISSY-EN-FRANCE;01/02/2003;40;1610;1650;;;VAL D'OISE;
9535101;ARCHEA - Archéologie en Pays de France;2014;ILE-DE-FRANCE;LOUVRES;01/02/2003;5834;3216;9050;;;VAL D'OISE;
9535101;ARCHEA - Archéologie en Pays de France;2016;ILE-DE-FRANCE;LOUVRES;01/02/2003;7986;4744;12730;;;VAL D'OISE;
7510106;Musée du Louvre;2017;ILE-DE-FRANCE;PARIS;06/01/2002;5411926;2610343;8022269;;;PARIS;
9535101;ARCHEA - Archéologie en Pays de France;2019;ILE-DE-France;LOUVRES;01/02/2003;7363;5790;13153;;M0436;VAL D'OISE;
7510106;Musée du Louvre;2021;Île-de-France;Paris;06/01/2002;1181523;1643516;2825039;;M5031;Paris;
9535101;Musée Intercommunal d'Histoire et d'Archéologie de Louvres;2012;ILE-DE-FRANCE;ROISSY-EN-FRANCE;01/02/2003;6318;3124;9442;;;VAL D'OISE;
6249801;Louvre-Lens (collections nationales decentralisées);2012;NORD-PAS-DE-CALAIS;LENS;;20180;128090;148270;;;PAS-DE-CALAIS;
9535101;Musée Intercommunal d'Histoire et d'Archéologie de Louvres;2013;ILE-DE-FRANCE;ROISSY-EN-FRANCE;01/02/2003;6534;2504;9038;;;VAL D'OISE;
6249801;Louvre-Lens (collections nationales decentralisées);2013;NORD-PAS-DE-CALAIS;LENS;;166744;696373;863117;;;PAS-DE-CALAIS;
7510106;Musée du Louvre;2014;ILE-DE-FRANCE;PARIS;06/01/2002;5646956;3454918;9101874;;;PARIS;
7510106;Musée du Louvre;2015;ILE-DE-FRANCE;PARIS;06/01/2002;5435535;2933898;8369433;;;PARIS;"7510106 ; 7510602"
9535101;ARCHEA - Archéologie en Pays de France;2015;ILE-DE-FRANCE;LOUVRES;01/02/2003;7384;3894;11278;;;VAL D'OISE;
6249801;Louvre-Lens (collections nationales decentralisées);2015;NORD-PAS-DE-CALAIS;LENS;;141504;212257;353761;;;PAS-DE-CALAIS;
6249801;Louvre-Lens (collections nationales decentralisées);2017;HAUTS-DE-FRANCE;LENS;;124985;325339;450324;;;PAS-DE-CALAIS;
7510106;Musée du Louvre;2003;ILE-DE-FRANCE;PARIS;06/01/2002;3782240;1944400;5726640;;;PARIS;
7510106;Musée du Louvre;2005;ILE-DE-FRANCE;PARIS;06/01/2002;5021000;2490000;7511000;;;PARIS;
7510106;Musée du Louvre;2006;ILE-DE-FRANCE;PARIS;06/01/2002;5667000;2647000;8314000;;;PARIS;
9535101;Musée Intercommunal d'Histoire et d'Archéologie de Louvres;2006;ILE-DE-FRANCE;ROISSY-EN-FRANCE;01/02/2003;;;;F;;VAL D'OISE;
7510106;Musée du Louvre;2008;ILE-DE-FRANCE;PARIS;06/01/2002;5699810;2722397;8422207;;;PARIS;
